OFFER_DATE,OFFER_WEEK,OFFER_MONTH,PRODUCT,PRICE,DISCOUNT,CUSTOMER_ID,GENDER,AGE,EARNING_K,CONVERT
10/13/2017,Friday,October,Mouse,50,20,00-020-7594,Female,30 - 40,100 - 150,0
3/7/2017,Tuesday,March,Headset,40,60,84-888-8806,Male,60 and above,LESS THAN 30,1
6/14/2017,Wednesday,June,HDMI Cable,40,50,81-252-3719,Male,30 - 40,150 ABOVE,0
3/16/2017,Thursday,March,USB Hub,50,40,68-540-9561,Male,30 - 40,30 - 60,0
2/14/2017,Tuesday,February,Headset,40,30,02-353-6198,Female,60 and above,LESS THAN 30,0
9/3/2017,Sunday,September,Lightning Cable,50,30,95-386-1267,Female,30 - 40,100 - 150,0
12/2/2017,Saturday,December,Headset,40,60,62-245-9739,Female,30 - 40,60 - 100,0
8/13/2017,Sunday,August,Mouse,40,50,25-210-6393,Female,30 - 40,LESS THAN 30,0
9/25/2017,Monday,September,USB Drive,40,20,22-301-7835,Female,40 - 50,150 ABOVE,0
10/3/2017,Tuesday,October,Headset,50,60,46-964-4150,Male,40 - 50,100 - 150,0
4/10/2017,Monday,April,Headset,30,40,33-900-0083,Female,50 - 60,150 ABOVE,0
1/5/2017,Thursday,January,Lightning Cable,40,30,18-196-1640,Female,50 - 60,LESS THAN 30,0
10/11/2017,Wednesday,October,Mouse,50,60,91-147-8147,Female,30 - 40,LESS THAN 30,1
1/17/2017,Tuesday,January,Lightning Cable,30,50,07-768-8111,Male,50 - 60,30 - 60,0
9/27/2017,Wednesday,September,HDMI Cable,30,40,22-820-0511,Female,30 - 40,150 ABOVE,0
6/15/2017,Thursday,June,HDMI Cable,50,20,84-214-7650,Female,60 and above,30 - 60,0
6/7/2017,Wednesday,June,USB Drive,50,30,59-072-8184,Female,20 - 30,30 - 60,1
11/21/2017,Tuesday,November,Headset,30,50,44-273-6935,Female,60 and above,30 - 60,0
11/20/2017,Monday,November,HDMI Cable,40,50,05-306-7883,Male,40 - 50,LESS THAN 30,0
10/31/2017,Tuesday,October,Lightning Cable,50,60,61-819-3416,Female,50 - 60,30 - 60,0
2/2/2017,Thursday,February,HDMI Cable,40,20,81-923-4644,Male,40 - 50,LESS THAN 30,0
11/24/2017,Friday,November,HDMI Cable,40,50,01-867-2021,Male,60 and above,30 - 60,0
10/18/2017,Wednesday,October,HDMI Cable,30,30,86-421-8661,Male,30 - 40,30 - 60,0
3/17/2017,Friday,March,USB Drive,40,60,28-857-5948,Female,30 - 40,150 ABOVE,0
4/25/2017,Tuesday,April,Headset,40,50,75-134-4091,Male,40 - 50,150 ABOVE,0
8/10/2017,Thursday,August,Headset,30,60,20-290-6488,Male,40 - 50,100 - 150,0
4/13/2017,Thursday,April,HDMI Cable,50,30,99-631-2908,Female,50 - 60,100 - 150,0
5/5/2017,Friday,May,Mouse,40,60,52-295-5376,Female,30 - 40,100 - 150,0
4/2/2017,Sunday,April,HDMI Cable,30,50,20-844-5554,Female,50 - 60,150 ABOVE,0
3/2/2017,Thursday,March,Mouse,40,50,66-443-5351,Female,30 - 40,100 - 150,0
10/20/2017,Friday,October,Keyboard,50,30,84-685-0816,Male,40 - 50,30 - 60,0
4/30/2017,Sunday,April,USB Drive,50,40,62-426-8975,Female,40 - 50,60 - 100,0
9/18/2017,Monday,September,Headset,30,30,83-915-6837,Male,20 - 30,LESS THAN 30,0
4/12/2017,Wednesday,April,USB Drive,40,30,97-010-1535,Male,50 - 60,100 - 150,1
1/8/2017,Sunday,January,USB Drive,30,30,19-819-9728,Male,40 - 50,150 ABOVE,0
9/19/2017,Tuesday,September,USB Hub,40,20,69-313-9307,Female,60 and above,LESS THAN 30,0
2/14/2017,Tuesday,February,Keyboard,30,60,20-639-6872,Male,50 - 60,150 ABOVE,0
12/24/2017,Sunday,December,Headset,30,50,42-680-9216,Male,30 - 40,30 - 60,0
1/23/2017,Monday,January,Headset,40,30,59-731-0273,Female,50 - 60,150 ABOVE,0
8/10/2017,Thursday,August,Keyboard,50,40,25-852-6920,Female,50 - 60,60 - 100,0
11/25/2017,Saturday,November,USB Hub,50,60,33-473-8943,Female,20 - 30,100 - 150,1
10/7/2017,Saturday,October,Mouse,30,20,53-476-9253,Female,30 - 40,150 ABOVE,1
10/13/2017,Friday,October,Lightning Cable,40,30,19-427-3043,Female,20 - 30,100 - 150,0
